	NSCLC	HC
1	0.8483	0.1517
2	0.9544	0.0456
3	0.7323	0.2677
4	0.6533	0.3467
6	0.87915	0.12085
7	0.8522	0.1478
9	0.7748	0.2252
10	0.5139	0.4861
11	0.7304	0.2696
12	0.87245	0.12755
15	0.8043	0.1957
16	0.91815	0.08185
17	0.896	0.104
19	0.91125	0.08875
20	0.6858	0.3142
21	0.82885	0.17115
22	0.9212	0.0788
23	0.72625	0.27375
24	0.8627	0.1373
25	0.8771	0.1229
26	0.7265	0.2735
27	0.79395	0.20605
28	0.58715	0.41285
30	0.9254	0.0746
31	0.78075	0.21925
32	0.42015	0.57985
33	0.8254	0.1746
34	0.73335	0.26665
35	0.66035	0.33965
36	0.8961	0.1039
37	0.6766	0.3234
38	0.9109	0.0891
39	0.75095	0.24905
40	0.83485	0.16515
41	0.72185	0.27815
42	0.6962	0.3038
45	0.9108	0.0892
46	0.87295	0.12705
47	0.89405	0.10595
48	0.80905	0.19095
49	0.88605	0.11395
50	0.89735	0.10265
51	0.7034	0.2966
53	0.75955	0.24045
54	0.7328	0.2672
55	0.6111	0.3889
56	0.77515	0.22485
57	0.86085	0.13915
58	0.75695	0.24305
59	0.5095	0.4905
60	0.8651	0.1349
61	0.6331	0.3669
62	0.87025	0.12975
63	0.6045	0.3955
64	0.9068	0.0932
65	0.8711	0.1289
66	0.9114	0.0886
67	0.88545	0.11455
68	0.90265	0.09735
70	0.9081	0.0919
71	0.8687	0.1313
72	0.89805	0.10195
73	0.79375	0.20625
75	0.7159	0.2841
76	0.66435	0.33565
77	0.749	0.251
78	0.83125	0.16875
79	0.8798	0.1202
80	0.90985	0.09015
82	0.525	0.475
83	0.5644	0.4356
84	0.83165	0.16835
85	0.90485	0.09515
86	0.90745	0.09255
87	0.88645	0.11355
88	0.77875	0.22125
89	0.5531	0.4469
90	0.85145	0.14855
91	0.6701	0.3299
92	0.88755	0.11245
93	0.62255	0.37745
94	0.7159	0.2841
95	0.7434	0.2566
96	0.6848	0.3152
98	0.90915	0.09085
99	0.7482	0.2518
100	0.89205	0.10795
102	0.879	0.121
104	0.9259	0.0741
105	0.6583	0.3417
106	0.91395	0.08605
107	0.90005	0.09995
108	0.94105	0.05895
109	0.69855	0.30145
110	0.7419	0.2581
111	0.6383	0.3617
112	0.72945	0.27055
113	0.87455	0.12545
114	0.6679	0.3321
115	0.87635	0.12365
116	0.85015	0.14985
117	0.78165	0.21835
118	0.862	0.138
119	0.9	0.1
120	0.6727	0.3273
121	0.8885	0.1115
122	0.9126	0.0874
123	0.87895	0.12105
124	0.79645	0.20355
125	0.8786	0.1214
127	0.83525	0.16475
128	0.7549	0.2451
129	0.67265	0.32735
130	0.49335	0.50665
131	0.815	0.185
132	0.7322	0.2678
133	0.81855	0.18145
134	0.87925	0.12075
135	0.6639	0.3361
136	0.87885	0.12115
137	0.71285	0.28715
138	0.89145	0.10855
13	0.32995	0.67005
223	0.1656	0.8344
310	0.0497	0.9503
410	0.0637	0.9363
5	0.1001	0.8999
69	0.0836	0.9164
710	0.07655	0.92345
8	0.17715	0.82285
910	0.14285	0.85715
1010	0.14495	0.85505
1110	0.07675	0.92325
1210	0.27925	0.72075
14	0.07725	0.92275
158	0.09275	0.90725
162	0.05975	0.94025
174	0.078	0.922
193	0.13735	0.86265
201	0.1557	0.8443
2110	0.11505	0.88495
227	0.0375	0.9625
231	0.1026	0.8974
251	0.0783	0.9217
261	0.14005	0.85995
271	0.0455	0.9545
281	0.1736	0.8264
29	0.0548	0.9452
301	0.0734	0.9266
311	0.03865	0.96135
321	0.0531	0.9469
331	0.0997	0.9003
341	0.1402	0.8598
351	0.2549	0.7451
361	0.05815	0.94185
371	0.10055	0.89945
381	0.0557	0.9443
391	0.0902	0.9098
401	0.183	0.817
411	0.03365	0.96635
421	0.18255	0.81745
43	0.0723	0.9277
44	0.2273	0.7727
451	0.0666	0.9334
461	0.1675	0.8325
481	0.0753	0.9247
491	0.17805	0.82195
501	0.06075	0.93925
511	0.1597	0.8403
52	0.1868	0.8132
531	0.06125	0.93875
541	0.2216	0.7784
551	0.1893	0.8107
561	0.1702	0.8298
571	0.066	0.934
581	0.0894	0.9106
591	0.11005	0.88995
601	0.2831	0.7169
611	0.1359	0.8641
621	0.1814	0.8186
631	0.07015	0.92985
641	0.0398	0.9602
651	0.04415	0.95585
661	0.0899	0.9101
671	0.1079	0.8921
681	0.125	0.875
701	0.11865	0.88135
711	0.1866	0.8134
721	0.13875	0.86125
731	0.1535	0.8465
74	0.0545	0.9455
751	0.0609	0.9391
761	0.03145	0.96855
771	0.0564	0.9436
781	0.1115	0.8885
791	0.111	0.889
801	0.05725	0.94275
81	0.0511	0.9489
821	0.2066	0.7934
831	0.10735	0.89265
841	0.0862	0.9138
851	0.12375	0.87625
861	0.0682	0.9318
871	0.05355	0.94645
881	0.02905	0.97095
891	0.1668	0.8332
901	0.1071	0.8929
911	0.0891	0.9109
941	0.04055	0.95945
951	0.15085	0.84915
97	0.12285	0.87715
981	0.1618	0.8382
991	0.12775	0.87225
1001	0.0352	0.9648
101	0.16425	0.83575
103	0.091	0.909
1041	0.12105	0.87895
1051	0.16235	0.83765
1071	0.0783	0.9217
1081	0.0402	0.9598
1101	0.11155	0.88845
1111	0.1599	0.8401
1131	0.0988	0.9012
1141	0.10195	0.89805
1151	0.1001	0.8999
1161	0.10495	0.89505
1171	0.0362	0.9638
1191	0.1732	0.8268
1211	0.0848	0.9152
1221	0.1279	0.8721
1231	0.115	0.885
1241	0.2736	0.7264
126	0.10985	0.89015
1271	0.18215	0.81785
1281	0.19665	0.80335
1291	0.2153	0.7847
1301	0.093	0.907
1311	0.09275	0.90725
1321	0.1097	0.8903
1331	0.0594	0.9406
1341	0.2279	0.7721
1351	0.0311	0.9689
1361	0.25815	0.74185
1371	0.08215	0.91785
1381	0.06295	0.93705
139	0.228	0.772
140	0.12885	0.87115
142	0.0832	0.9168
143	0.0936	0.9064
144	0.1639	0.8361
145	0.1295	0.8705
146	0.1301	0.8699
147	0.1297	0.8703
148	0.13615	0.86385
150	0.0773	0.9227
151	0.24305	0.75695
152	0.03655	0.96345
153	0.1104	0.8896
154	0.0973	0.9027
155	0.0487	0.9513
156	0.13865	0.86135
157	0.20885	0.79115
159	0.07215	0.92785
160	0.1602	0.8398
161	0.09055	0.90945
163	0.1155	0.8845
164	0.1142	0.8858
165	0.12455	0.87545
166	0.0294	0.9706
167	0.06185	0.93815
168	0.31395	0.68605
169	0.14665	0.85335
171	0.22145	0.77855
172	0.02795	0.97205
173	0.0673	0.9327
175	0.1088	0.8912
176	0.12735	0.87265
177	0.02645	0.97355
178	0.22755	0.77245
179	0.19565	0.80435
180	0.08925	0.91075
181	0.08265	0.91735
182	0.1725	0.8275
183	0.09855	0.90145
184	0.21395	0.78605
185	0.06105	0.93895
186	0.0732	0.9268
187	0.08005	0.91995
